# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367517409614e-10       4.155629392556e-15       3.526337469265e-13       0.000000000000e+00       8.268145255524e-09       4.468076226151e-10      -1.839508391899e-12 
    3       1.295377919928e-10       5.342676553551e-15       3.960807421075e-13       0.000000000000e+00       5.075074263949e-09       3.160911026602e-10      -1.395738934313e-12 
    4       1.227008776287e-10       4.637503716963e-15       3.704768026294e-13       0.000000000000e+00       3.512194475067e-09       2.388856180176e-10      -9.165432947924e-13 
    5       1.175819509952e-10       3.104874866854e-15       3.156421490213e-13       0.000000000000e+00       2.611828068402e-09       1.884146373900e-10      -5.121809016677e-13 
    6       1.140807118885e-10       1.740435284869e-15       2.542980340360e-13       0.000000000000e+00       2.033934614230e-09       1.531001735424e-10      -2.133369193461e-13 
    7       1.118095066401e-10       9.392118497963e-16       1.996778210365e-13       0.000000000000e+00       1.636530054269e-09       1.272022763787e-10      -2.187998482088e-14 
    8       1.105000013567e-10       6.027169817230e-16       1.576034571414e-13       0.000000000000e+00       1.349514562849e-09       1.075851674234e-10       7.666313034570e-14 
    9       1.099122763947e-10       4.823260509243e-16       1.293718759570e-13       0.000000000000e+00       1.134288329406e-09       9.239249093884e-11       1.051798335779e-13 
   10       1.098156020472e-10       4.113192067365e-16       1.137051122869e-13       0.000000000000e+00       9.680354470899e-10       8.037571872469e-11       8.919417777579e-14 
   11       1.101589861321e-10       3.458947157464e-16       1.079558746091e-13       0.000000000000e+00       8.274547553016e-10       7.140683182959e-11       5.264096272916e-14 
   12       1.107887506833e-10       3.009529040524e-16       1.090814153114e-13       0.000000000000e+00       7.228776808025e-10       6.312318019287e-11       1.309232765848e-14 
   13       1.116567484247e-10       2.879782017302e-16       1.143881598222e-13       0.000000000000e+00       6.370395411639e-10       5.640510445247e-11      -1.734746493909e-14 
   14       1.127222831053e-10       2.995134093249e-16       1.218152111233e-13       0.000000000000e+00       5.656339402989e-10       5.056620563529e-11      -3.424652792160e-14 
   15       1.139680547025e-10       3.237432000281e-16       1.300698998440e-13       0.000000000000e+00       5.055423787615e-10       4.565342452209e-11      -3.764288375918e-14 
   16       1.153170252073e-10       3.578065743770e-16       1.384705581451e-13       0.000000000000e+00       4.544581262811e-10       4.141683666537e-11      -3.133654406533e-14 
   17       1.168022472991e-10       4.071296103052e-16       1.468130508018e-13       0.000000000000e+00       4.106424049507e-10       3.771790552356e-11      -2.044831034975e-14 
   18       1.183592978085e-10       4.772866484803e-16       1.553391608763e-13       0.000000000000e+00       3.726218860767e-10       3.449961234142e-11      -9.868799038321e-15 
   19       1.199997904264e-10       5.687190678257e-16       1.642520833389e-13       0.000000000000e+00       3.397807402956e-10       3.171216048454e-11      -2.265800073456e-15 
   20       1.217181182708e-10       6.795158165770e-16       1.736825432150e-13       0.000000000000e+00       3.108628583917e-10       2.923452007992e-11       5.497074459906e-16 
   21       1.235141441372e-10       8.090276304722e-16       1.836139766142e-13       0.000000000000e+00       2.854113647533e-10       2.702138885737e-11      -9.312984193561e-16 
   22       1.253598325212e-10       9.567229168913e-16       1.939012023074e-13       0.000000000000e+00       2.628119098485e-10       2.502034058094e-11      -5.025509918889e-15 
   23       1.272631196638e-10       1.122801945378e-15       2.042078127202e-13       0.000000000000e+00       2.427606206287e-10       2.322648341236e-11      -9.987289024391e-15 
   24       1.292208155335e-10       1.307522035394e-15       2.140920167730e-13       0.000000000000e+00       2.247982154920e-10       2.162637031330e-11      -1.393001334653e-14 
