# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367522135153e-10       4.155876715904e-15       3.526337430965e-13       2.473232929242e-19       8.268145255524e-09       4.468076226151e-10      -1.839508391899e-12 
    3       1.295387348019e-10       5.343171287612e-15       3.960807250259e-13       4.947335143664e-19       5.075074263949e-09       3.160911026602e-10      -1.395738934313e-12 
    4       1.227024439323e-10       4.638328467236e-15       3.704767534989e-13       8.247475891691e-19       3.512194475067e-09       2.388856180176e-10      -9.165432947924e-13 
    5       1.175842911415e-10       3.106112353484e-15       3.156420369602e-13       1.237477439678e-18       2.611828068402e-09       1.884146373900e-10      -5.121809016677e-13 
    6       1.140839727556e-10       1.742168369530e-15       2.542978133696e-13       1.733059615335e-18       2.033934614230e-09       1.531001735424e-10      -2.133369193461e-13 
    7       1.118138311463e-10       9.415235612065e-16       1.996774287818e-13       2.311653177069e-18       1.636530054269e-09       1.272022763787e-10      -2.187998482088e-14 
    8       1.105055280690e-10       6.056905392842e-16       1.576028107162e-13       2.973437274140e-18       1.349514562849e-09       1.075851674234e-10       7.666313034570e-14 
    9       1.099191392437e-10       4.860448859823e-16       1.293708711392e-13       3.718608470934e-18       1.134288329406e-09       9.239249093884e-11       1.051798335779e-13 
   10       1.098239301510e-10       4.158669808450e-16       1.137036214428e-13       4.547377886425e-18       9.680354470899e-10       8.037571872469e-11       8.919417777579e-14 
   11       1.101689037286e-10       3.513553352951e-16       1.079537452064e-13       5.459968212461e-18       8.274547553016e-10       7.140683182959e-11       5.264096272916e-14 
   12       1.108003771668e-10       3.074105305930e-16       1.090784687243e-13       6.456610678614e-18       7.228776808025e-10       6.312318019287e-11       1.309232765848e-14 
   13       1.116701984800e-10       2.955172573411e-16       1.143841904345e-13       7.537542031040e-18       6.370395411639e-10       5.640510445247e-11      -1.734746493909e-14 
   14       1.127376669265e-10       3.082185763993e-16       1.218099857270e-13       8.703001590639e-18       5.656339402989e-10       5.056620563529e-11      -3.424652792160e-14 
   15       1.139854782848e-10       3.336994149465e-16       1.300631573288e-13       9.953228451852e-18       5.055423787615e-10       4.565342452209e-11      -3.764288375918e-14 
   16       1.153365906947e-10       3.690990146368e-16       1.384620094693e-13       1.128845887788e-17       4.544581262811e-10       4.141683666537e-11      -3.133654406533e-14 
   17       1.168240533723e-10       4.198436748258e-16       1.468023792327e-13       1.270892394102e-17       4.106424049507e-10       3.771790552356e-11      -2.044831034975e-14 
   18       1.183834401015e-10       4.915079312269e-16       1.553260224882e-13       1.421484735441e-17       3.726218860767e-10       3.449961234142e-11      -9.868799038321e-15 
   19       1.200263619057e-10       5.845333233472e-16       1.642361077339e-13       1.580644418581e-17       3.397807402956e-10       3.171216048454e-11      -2.265800073456e-15 
   20       1.217472096899e-10       6.970089215546e-16       1.736633345022e-13       1.748391838522e-17       3.108628583917e-10       2.923452007992e-11       5.497074459906e-16 
   21       1.235458443409e-10       8.282855363952e-16       1.835911145372e-13       1.924746321126e-17       2.854113647533e-10       2.702138885737e-11      -9.312984193561e-16 
   22       1.253942288335e-10       9.778315991702e-16       1.938742436378e-13       2.109725869214e-17       2.628119098485e-10       2.502034058094e-11      -5.025509918889e-15 
