# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730184992255e+01 
       2.344149348009e-05       1.027851686113e+02 
       3.643150557641e-05       1.573668329688e+02 
       4.950276898304e-05       2.116087514640e+02 
       6.269116787866e-05       2.658354954845e+02 
       7.603349891460e-05       3.202932831307e+02 
       8.956780474155e-05       3.751946408321e+02 
       1.033337224394e-04       4.307367518507e+02 
       1.173728513602e-04       4.871109460280e+02 
       1.317291449285e-04       5.445084815774e+02 
       1.464493309473e-04       6.031246142811e+02 
       1.615833648907e-04       6.631618015499e+02 
       1.771849204754e-04       7.248324699623e+02 
       1.933119214006e-04       7.883615648311e+02 
       2.100271174486e-04       8.539890196140e+02 
       2.273987069840e-04       9.219722052345e+02 
       2.455010061159e-04       9.925883986509e+02 
       2.644151621518e-04       1.066137279747e+03 
       2.842299051866e-04       1.142943435497e+03 
       3.050423263886e-04       1.223358827395e+03 
       3.269586643615e-04       1.307765136250e+03 
       3.500950714572e-04       1.396575873794e+03 
       3.745783196978e-04       1.490238084833e+03 
       4.005463907912e-04       1.589233415177e+03 
       4.281488766525e-04       1.694078254801e+03 
       4.575470965037e-04       1.805322597216e+03 
       4.889138155558e-04       1.923547173755e+03 
       5.224324313040e-04       2.049358392635e+03 
       5.582954811241e-04       2.183380569103e+03 
       5.967023254859e-04       2.326244986430e+03 
       6.378558826105e-04       2.478575427410e+03 
       6.819583410322e-04       2.640970095096e+03 
       7.292058626023e-04       2.813980122368e+03 
       7.797824108384e-04       2.998085445751e+03 
       8.338529896116e-04       3.193669360492e+03 
       8.915567340250e-04       3.400993513014e+03 
       9.530004261315e-04       3.620175748196e+03 
       1.018253073984e-03       3.851173165408e+03 
       1.087342160055e-03       4.093772588610e+03 
       1.160252020405e-03       4.347590088300e+03 
       1.236924575034e-03       4.612079907139e+03 
       1.317262338136e-03       4.886552430116e+03 
       1.401133357662e-03       5.170172010201e+03 
       1.488377526331e-03       5.462051962163e+03 
       1.578813608190e-03       5.761247097792e+03 
       1.672246341137e-03       6.066771606148e+03 
       1.768473082609e-03       6.377638103357e+03 
       1.867289623546e-03       6.692880444695e+03 
       1.968494964067e-03       7.011571647135e+03 
       2.071894992350e-03       7.332837099027e+03 
       2.177305119232e-03       7.655863471577e+03 
       2.284551991183e-03       7.979903556010e+03 
       2.393474438311e-03       8.304278116967e+03 
       2.503923820822e-03       8.628374330620e+03 
       2.615763926479e-03       8.951644592220e+03 
       2.728870551105e-03       9.273602295557e+03 
       2.843130870257e-03       9.593816373301e+03 
       2.958442686538e-03       9.911909266418e+03 
       3.074713615871e-03       1.022754958311e+04 
       3.191860258335e-03       1.054044899860e+04 
       3.309807384944e-03       1.085035756257e+04 
       3.428487160834e-03       1.115705978456e+04 
       3.547838417153e-03       1.146036833422e+04 
       3.667805978095e-03       1.176012622671e+04 
       3.788340045371e-03       1.205619792655e+04 
       3.909395639654e-03       1.234847204367e+04 
       4.030932096742e-03       1.263685281276e+04 
       4.152912615127e-03       1.292126359693e+04 
       4.275303851069e-03       1.320163965122e+04 
       4.398075557068e-03       1.347793387023e+04 
       4.521200259642e-03       1.375010401404e+04 
       4.644652972448e-03       1.401812445755e+04 
       4.768410941029e-03       1.428196996023e+04 
       4.892453415780e-03       1.454162261132e+04 
       5.016761449979e-03       1.479709622423e+04 
       5.141317720081e-03       1.504838380444e+04 
       5.266106365726e-03       1.529548254969e+04 
       5.391112847210e-03       1.553841610889e+04 
       5.516323818407e-03       1.577718051971e+04 
       5.641727013360e-03       1.601180448504e+04 
       5.767311144976e-03       1.624229948956e+04 
       5.893065814425e-03       1.646868414721e+04 
       6.018981430030e-03       1.669100453044e+04 
       6.145049134564e-03       1.690926644856e+04 
       6.271260740005e-03       1.712350722618e+04 
       6.397608668908e-03       1.733375637824e+04 
       6.524085901671e-03       1.754004159923e+04 
       6.650685929023e-03       1.774240055121e+04 
       6.777402709184e-03       1.794086604339e+04 
       6.904230629174e-03       1.813546938825e+04 
       7.031164469837e-03       1.832625208393e+04 
       7.158199374175e-03       1.851324731892e+04 
       7.285330818649e-03       1.869648875973e+04 
       7.412554587144e-03       1.887601333631e+04 
       7.539866747306e-03       1.905185875247e+04 
       7.667263629027e-03       1.922406880139e+04 
       7.794741804850e-03       1.939266834372e+04 
       7.922298072107e-03       1.955770742466e+04 
       8.049929436618e-03       1.971922008559e+04 
       8.177633097798e-03       1.987723667135e+04 
       8.305406435034e-03       2.003180330972e+04 
       8.433246995221e-03       2.018295967341e+04 
       8.561152481326e-03       2.033073449816e+04 
       8.689120741909e-03       2.047517698684e+04 
       8.817149761500e-03       2.061631291722e+04 
       8.945237651744e-03       2.075418249598e+04 
       9.073382643271e-03       2.088882555448e+04 
       9.201583078197e-03       2.102027680646e+04 
       9.329837403224e-03       2.114856817508e+04 
       9.458144163269e-03       2.127374104844e+04 
       9.586501995589e-03       2.139583270543e+04 
       9.714909624354e-03       2.151486767315e+04 
       9.843365855626e-03       2.163088366160e+04 
       9.971869572721e-03       2.174392530305e+04 
       1.010041973191e-02       2.185401361774e+04 
       1.022901535845e-02       2.196119307838e+04 
       1.035765554288e-02       2.206548826956e+04 
       1.048633943763e-02       2.216693251058e+04 
       1.061506625381e-02       2.226557377071e+04 
       1.074383525830e-02       2.236142925668e+04 
       1.087264577102e-02       2.245453526926e+04 
       1.100149716235e-02       2.254492902782e+04 
       1.113038885083e-02       2.263262552690e+04 
       1.125932030092e-02       2.271768611365e+04 
       1.138829102097e-02       2.280012100713e+04 
