# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730151174231e+01 
       2.344149348009e-05       1.027844408567e+02 
       3.643150557641e-05       1.573657379960e+02 
       4.950276898304e-05       2.116073164296e+02 
       6.269116787866e-05       2.658337545211e+02 
       7.603349891460e-05       3.202912786625e+02 
       8.956780474155e-05       3.751924248611e+02 
       1.033337224394e-04       4.307343874358e+02 
       1.173728513602e-04       4.871085090642e+02 
       1.317291449285e-04       5.445060629658e+02 
       1.464493309473e-04       6.031223225830e+02 
       1.615833648907e-04       6.631597662330e+02 
       1.771849204754e-04       7.248308453717e+02 
       1.933119214006e-04       7.883605350509e+02 
       2.100271174486e-04       8.539888044206e+02 
       2.273987069840e-04       9.219730673973e+02 
       2.455010061159e-04       9.925906528950e+02 
       2.644151621518e-04       1.066141303771e+03 
       2.842299051866e-04       1.142949683533e+03 
       3.050423263886e-04       1.223367846914e+03 
       3.269586643615e-04       1.307777588553e+03 
       3.500950714572e-04       1.396592559398e+03 
       3.745783196978e-04       1.490259974752e+03 
       4.005463907912e-04       1.589261689413e+03 
       4.281488766525e-04       1.694114349602e+03 
       4.575470965037e-04       1.805368262891e+03 
       4.889138155558e-04       1.923604545060e+03 
       5.224324313040e-04       2.049430073874e+03 
       5.582954811241e-04       2.183469736132e+03 
       5.967023254859e-04       2.326355507543e+03 
       6.378558826105e-04       2.478712004568e+03 
       6.819583410322e-04       2.641138426023e+03 
       7.292058626023e-04       2.814187082515e+03 
       7.797824108384e-04       2.998339287056e+03 
       8.338529896116e-04       3.193979921220e+03 
       8.915567340250e-04       3.401372429859e+03 
       9.530004261315e-04       3.620636658843e+03 
       1.018253073984e-03       3.851731887182e+03 
       1.087342160055e-03       4.094447257299e+03 
       1.160252020405e-03       4.348401241663e+03 
       1.236924575034e-03       4.613050499559e+03 
       1.317262338136e-03       4.887707769395e+03 
       1.401133357662e-03       5.171539596248e+03 
       1.488377526331e-03       5.463661287122e+03 
       1.578813608190e-03       5.763129355297e+03 
       1.672246341137e-03       6.068959339205e+03 
       1.768473082609e-03       6.380164824857e+03 
       1.867289623546e-03       6.695780244172e+03 
       1.968494964067e-03       7.014878804135e+03 
       2.071894992350e-03       7.336585721766e+03 
       2.177305119232e-03       7.660087176329e+03 
       2.284551991183e-03       7.984635198071e+03 
       2.393474438311e-03       8.309549579851e+03 
       2.503923820822e-03       8.634216374973e+03 
       2.615763926479e-03       8.958086763439e+03 
       2.728870551105e-03       9.280672883879e+03 
       2.843130870257e-03       9.601542417456e+03 
       2.958442686538e-03       9.920316594573e+03 
       3.074713615871e-03       1.023666287661e+04 
       3.191860258335e-03       1.055029187174e+04 
       3.309807384944e-03       1.086095198277e+04 
