# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730151174231e+01 
       2.344149348009e-05       1.027844408567e+02 
       3.643150557641e-05       1.573657379960e+02 
       4.950276898304e-05       2.116073164296e+02 
       6.269116787866e-05       2.658337545211e+02 
       7.603349891460e-05       3.202912786625e+02 
       8.956780474155e-05       3.751924248611e+02 
       1.033337224394e-04       4.307343874358e+02 
       1.173728513602e-04       4.871085090642e+02 
       1.317291449285e-04       5.445060629658e+02 
       1.464493309473e-04       6.031223225830e+02 
       1.615833648907e-04       6.630869859171e+02 
       1.771849204754e-04       7.247436357036e+02 
       1.933119214006e-04       7.882570705543e+02 
       2.100271174486e-04       8.538670609339e+02 
       2.273987069840e-04       9.218307893766e+02 
       2.455010061159e-04       9.924253155590e+02 
       2.644151621518e-04       1.065950069161e+03 
       2.842299051866e-04       1.142729349427e+03 
       3.050423263886e-04       1.223114787381e+03 
       3.269586643615e-04       1.307487684788e+03 
       3.500950714572e-04       1.396261119334e+03 
       3.745783196978e-04       1.489881639808e+03 
       4.005463907912e-04       1.588830326703e+03 
       4.281488766525e-04       1.693622927897e+03 
       4.575470965037e-04       1.804808710810e+03 
       4.889138155558e-04       1.922967590290e+03 
       5.224324313040e-04       2.048705062833e+03 
       5.582954811241e-04       2.182644434424e+03 
       5.967023254859e-04       2.325415882930e+03 
       6.378558826105e-04       2.477641995956e+03 
       6.819583410322e-04       2.639919704193e+03 
       7.292058626023e-04       2.812798810816e+03 
       7.797824108384e-04       2.996757892842e+03 
       8.338529896116e-04       3.192178890969e+03 
       8.915567340250e-04       3.399322142372e+03 
       9.530004261315e-04       3.618304270862e+03 
       1.018253073984e-03       3.849081284143e+03 
       1.087342160055e-03       4.091439078393e+03 
       1.160252020405e-03       4.344992983204e+03 
       1.236924575034e-03       4.609196694763e+03 
       1.317262338136e-03       4.883360236411e+03 
       1.401133357662e-03       5.166647767858e+03 
       1.488377526331e-03       5.458172520186e+03 
       1.578813608190e-03       5.756989292760e+03 
       1.672246341137e-03       6.062112291410e+03 
       1.768473082609e-03       6.372554131261e+03 
       1.867289623546e-03       6.687348615259e+03 
       1.968494964067e-03       7.005568635804e+03 
       2.071894992350e-03       7.326339377380e+03 
       2.177305119232e-03       7.648847234181e+03 
       2.284551991183e-03       7.972344664672e+03 
       2.393474438311e-03       8.296152070428e+03 
       2.503923820822e-03       8.619656265469e+03 
       2.615763926479e-03       8.942309313663e+03 
       2.728870551105e-03       9.263624338031e+03 
       2.843130870257e-03       9.583170086568e+03 
       2.958442686538e-03       9.900568916658e+03 
       3.074713615871e-03       1.021548946713e+04 
       3.191860258335e-03       1.052764355887e+04 
       3.309807384944e-03       1.083678083448e+04 
