# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730184992255e+01 
       2.344149348009e-05       1.027851686113e+02 
       3.643150557641e-05       1.573668329688e+02 
       4.950276898304e-05       2.116087514640e+02 
       6.269116787866e-05       2.658354954845e+02 
       7.603349891460e-05       3.202932831307e+02 
       8.956780474155e-05       3.751946408321e+02 
       1.033337224394e-04       4.307367518507e+02 
       1.173728513602e-04       4.871109460280e+02 
       1.317291449285e-04       5.445084815774e+02 
       1.464493309473e-04       6.031246142811e+02 
       1.615833648907e-04       6.630895245545e+02 
       1.771849204754e-04       7.247458636449e+02 
       1.933119214006e-04       7.882588164341e+02 
       2.100271174486e-04       8.538681190906e+02 
       2.273987069840e-04       9.218309127838e+02 
       2.455010061159e-04       9.924242071304e+02 
       2.644151621518e-04       1.065947371046e+03 
       2.842299051866e-04       1.142724629814e+03 
       3.050423263886e-04       1.223107524216e+03 
       3.269586643615e-04       1.307477245683e+03 
       3.500950714572e-04       1.396246736756e+03 
       3.745783196978e-04       1.489862380477e+03 
       4.005463907912e-04       1.588805053879e+03 
       4.281488766525e-04       1.693590255032e+03 
       4.575470965037e-04       1.804766944777e+03 
       4.889138155558e-04       1.922914662192e+03 
       5.224324313040e-04       2.048638444250e+03 
       5.582954811241e-04       2.182561036928e+03 
       5.967023254859e-04       2.325311938867e+03 
       6.378558826105e-04       2.477512919035e+03 
       6.819583410322e-04       2.639759929316e+03 
       7.292058626023e-04       2.812601614106e+03 
       7.797824108384e-04       2.996515194869e+03 
       8.338529896116e-04       3.191881048828e+03 
       8.915567340250e-04       3.398957739307e+03 
       9.530004261315e-04       3.617859915166e+03 
       1.018253073984e-03       3.848541431587e+03 
       1.087342160055e-03       4.090785894042e+03 
       1.160252020405e-03       4.344206258041e+03 
       1.236924575034e-03       4.608253830642e+03 
       1.317262338136e-03       4.882236308382e+03 
       1.401133357662e-03       5.165315683946e+03 
       1.488377526331e-03       5.456603219793e+03 
       1.578813608190e-03       5.755152035443e+03 
       1.672246341137e-03       6.059975006736e+03 
       1.768473082609e-03       6.370083796000e+03 
       1.867289623546e-03       6.684511644322e+03 
       1.968494964067e-03       7.002331266616e+03 
       2.071894992350e-03       7.322668029057e+03 
       2.177305119232e-03       7.644708826134e+03 
       2.284551991183e-03       7.967706883805e+03 
       2.393474438311e-03       8.290983580310e+03 
       2.503923820822e-03       8.613926855978e+03 
       2.615763926479e-03       8.935989992167e+03 
       2.728870551105e-03       9.256687368292e+03 
       2.843130870257e-03       9.575588984265e+03 
       2.958442686538e-03       9.892318407839e+03 
       3.074713615871e-03       1.020654542399e+04 
       3.191860258335e-03       1.051798291966e+04 
       3.309807384944e-03       1.082638218160e+04 
       3.428487160834e-03       1.113152897289e+04 
       3.547838417153e-03       1.143323723238e+04 
       3.667805978095e-03       1.173135124116e+04 
       3.788340045371e-03       1.202573673549e+04 
       3.909395639654e-03       1.231628358539e+04 
       4.030932096742e-03       1.260289728647e+04 
       4.152912615127e-03       1.288550244603e+04 
       4.275303851069e-03       1.316403555904e+04 
       4.398075557068e-03       1.343845073269e+04 
       4.521200259642e-03       1.370870694400e+04 
       4.644652972448e-03       1.397477974900e+04 
       4.768410941029e-03       1.423664509835e+04 
       4.892453415780e-03       1.449428625856e+04 
       5.016761449979e-03       1.474771811857e+04 
       5.141317720081e-03       1.499693483001e+04 
       5.266106365726e-03       1.524193472528e+04 
       5.391112847210e-03       1.548274249173e+04 
       5.516323818407e-03       1.571935530330e+04 
       5.641727013360e-03       1.595180287430e+04 
       5.767311144976e-03       1.618009776001e+04 
       5.893065814425e-03       1.640425961269e+04 
       6.018981430030e-03       1.662433542307e+04 
       6.145049134564e-03       1.684033207385e+04 
       6.271260740005e-03       1.705228782500e+04 
       6.397608668908e-03       1.726023314858e+04 
       6.524085901671e-03       1.746419669431e+04 
       6.650685929023e-03       1.766421702426e+04 
       6.777402709184e-03       1.786032785733e+04 
       6.904230629174e-03       1.805256141140e+04 
       7.031164469837e-03       1.824096002976e+04 
       7.158199374175e-03       1.842555777253e+04 
       7.285330818649e-03       1.860638916383e+04 
       7.412554587144e-03       1.878349196269e+04 
       7.539866747306e-03       1.895690468500e+04 
       7.667263629027e-03       1.912667189043e+04 
       7.794741804850e-03       1.929281929252e+04 
       7.922298072107e-03       1.945539764279e+04 
       8.049929436618e-03       1.961444176016e+04 
       8.177633097798e-03       1.976998277569e+04 
       8.305406435034e-03       1.992206750212e+04 
       8.433246995221e-03       2.007073631823e+04 
       8.561152481326e-03       2.021601871629e+04 
       8.689120741909e-03       2.035796452268e+04 
       8.817149761500e-03       2.049660026360e+04 
       8.945237651744e-03       2.063196679575e+04 
       9.073382643271e-03       2.076410458854e+04 
       9.201583078197e-03       2.089304901183e+04 
       9.329837403224e-03       2.101883265043e+04 
       9.458144163269e-03       2.114149748074e+04 
       9.586501995589e-03       2.126108138227e+04 
       9.714909624354e-03       2.137760955473e+04 
       9.843365855626e-03       2.149112028222e+04 
       9.971869572721e-03       2.160165870992e+04 
       1.010041973191e-02       2.170924651935e+04 
       1.022901535845e-02       2.181392867133e+04 
       1.035765554288e-02       2.191573036453e+04 
       1.048633943763e-02       2.201468546018e+04 
       1.061506625381e-02       2.211084235008e+04 
       1.074383525830e-02       2.220421887410e+04 
       1.087264577102e-02       2.229485181656e+04 
       1.100149716235e-02       2.238277886021e+04 
       1.113038885083e-02       2.246801561995e+04 
       1.125932030092e-02       2.255062369790e+04 
       1.138829102097e-02       2.263061394731e+04 
