# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.053783084101e-10       3.378285837077e-15       2.427817640970e-13       0.000000000000e+00       6.022077187663e-09       6.887612659777e-10      -1.578587604966e-12 
    3       1.803075819349e-10       4.950686377354e-15       3.207935007500e-13       0.000000000000e+00       3.662176024500e-09       4.664525314224e-10      -1.292259371778e-12 
    4       1.616491059683e-10       4.858812325593e-15       3.288146914453e-13       0.000000000000e+00       2.519705203043e-09       3.423377162277e-10      -9.182245370999e-13 
    5       1.484845014632e-10       3.696248274759e-15       3.004489688480e-13       0.000000000000e+00       1.862446062155e-09       2.640885046968e-10      -5.706285024617e-13 
    6       1.392861057815e-10       2.336678361029e-15       2.584388778579e-13       0.000000000000e+00       1.441169377814e-09       2.107422099028e-10      -2.862806087809e-13 
    7       1.329167115545e-10       1.353717589924e-15       2.162796440895e-13       0.000000000000e+00       1.152064474068e-09       1.723907161366e-10      -7.808378306363e-14 
    8       1.285688130400e-10       8.687704204318e-16       1.805250286361e-13       0.000000000000e+00       9.437146167746e-10       1.437578841709e-10       5.482707844979e-14 
    9       1.257234932679e-10       7.133675062830e-16       1.537747081866e-13       0.000000000000e+00       7.878902267247e-10       1.217933329418e-10       1.221771062122e-13 
   10       1.239901757548e-10       6.662828949703e-16       1.363001647171e-13       0.000000000000e+00       6.679287223780e-10       1.045821245717e-10       1.388590514527e-13 
   11       1.231214805103e-10       6.004960948036e-16       1.269284936190e-13       0.000000000000e+00       5.705898087991e-10       9.156970412514e-11       1.214713032180e-13 
   12       1.229274200704e-10       5.012718411607e-16       1.237694781398e-13       0.000000000000e+00       4.954025206854e-10       8.024744030946e-11       8.637417568733e-14 
   13       1.231847139761e-10       4.087228137831e-16       1.248853634429e-13       0.000000000000e+00       4.339334908522e-10       7.095024357263e-11       4.643583063854e-14 
   14       1.239076677381e-10       3.573268052452e-16       1.286156258225e-13       0.000000000000e+00       3.830052446744e-10       6.313298279515e-11       1.092043671915e-14 
   15       1.249669619311e-10       3.516828869594e-16       1.336010287933e-13       0.000000000000e+00       3.403195383734e-10       5.650240769864e-11      -1.473954301477e-14 
   16       1.262577722323e-10       3.761243028121e-16       1.390025765549e-13       0.000000000000e+00       3.041796277299e-10       5.090203561588e-11      -2.864749460355e-14 
   17       1.278383783130e-10       4.149628756899e-16       1.444073396305e-13       0.000000000000e+00       2.733074715750e-10       4.605494373797e-11      -3.198281230717e-14 
   18       1.296066722645e-10       4.637174195120e-16       1.497071430817e-13       0.000000000000e+00       2.466274785374e-10       4.185116336587e-11      -2.756332742915e-14 
   19       1.315444245160e-10       5.269823125157e-16       1.549734029212e-13       0.000000000000e+00       2.236754946374e-10       3.820885571712e-11      -1.858134798463e-14 
   20       1.336171987902e-10       6.110459771103e-16       1.603145371796e-13       0.000000000000e+00       2.035463309818e-10       3.494716520285e-11      -8.994491090684e-15 
   21       1.358405854527e-10       7.167284721795e-16       1.659252610730e-13       0.000000000000e+00       1.859017165867e-10       3.206058278209e-11      -1.044440264382e-15 
   22       1.382058898833e-10       8.422573746900e-16       1.719769518060e-13       0.000000000000e+00       1.702963561812e-10       2.954801972381e-11       3.636720078657e-15 
   23       1.406871246165e-10       9.857196102468e-16       1.783669675873e-13       0.000000000000e+00       1.565061099021e-10       2.734655966011e-11       4.759492192635e-15 
